Name,Volume
Bitcoin,"$ 70,972,193,249.8205"
Ethereum,"$ 44,581,908,324.9338"
Tether,"$148,797,311,231.2127"
BNB,"$  3,736,806,315.3330"
USD Coin,"$ 10,160,369,261.8525"
XRP,"$  4,175,229,588.9160"
Solana,"$  4,316,270,696.7134"
Cardano,"$  2,826,463,283.1709"
Binance USD,"$  9,845,896,847.6012"
TerraUSD,"$  5,421,949,759.8362"
Dogecoin,"$  1,980,219,874.6691"
Avalanche,"$  1,830,882,102.1790"
Polkadot,"$  1,999,931,515.4228"
Terra,"$ 13,021,719,843.7332"
Shiba Inu,"$  2,244,719,720.0256"
Wrapped Bitcoin,"$    680,909,967.6097"
TRON,"$  2,941,179,469.3533"
Dai,"$    860,513,322.5156"
Polygon,"$  1,663,441,532.7250"
NEAR Protocol,"$  1,852,124,623.0727"
Cronos,"$    138,133,043.6390"
Litecoin,"$  1,901,942,103.8381"
UNUS SED LEO,"$      7,345,556.9184"
FTX Token,"$    252,670,816.9111"
Bitcoin Cash,"$  3,989,217,969.9236"
Uniswap,"$    455,501,972.0597"
Chainlink,"$  1,181,004,732.1351"
Algorand,"$    698,408,941.3690"
Cosmos,"$  1,252,621,600.9104"
Stellar,"$    626,922,340.1069"
Ethereum Classic,"$    769,189,864.1760"
Monero,"$    295,487,275.2391"
ApeCoin,"$  1,983,859,931.7194"
VeChain,"$    478,280,070.8987"
Internet Computer,"$    411,248,393.5372"
Elrond,"$    171,747,629.8937"
Hedera,"$    125,748,395.9039"
Filecoin,"$    991,738,848.6992"
The Sandbox,"$    736,519,900.0955"
Decentraland,"$    608,984,799.2604"
Tezos,"$    185,465,742.5895"
Theta Network,"$    401,093,724.9488"
PancakeSwap,"$    277,265,245.2696"
EOS,"$  1,083,769,205.4351"
THORChain,"$    304,465,285.2675"
Axie Infinity,"$    664,091,336.9037"
Aave,"$    451,076,940.4364"
Fantom,"$    670,815,596.3149"
Flow,"$    308,030,754.7538"
Helium,"$     40,720,399.3455"
KuCoin Token,"$     19,949,515.8817"
Klaytn,"$    129,260,955.7421"
Zcash,"$    289,909,827.2300"
BitTorrent-New,"$    185,490,572.3988"
Waves,"$    918,323,970.9035"
TrueUSD,"$    363,456,544.3679"
Huobi Token,"$    116,882,264.2775"
Convex Finance,"$     22,135,373.3618"
Bitcoin SV,"$    321,515,896.2724"
The Graph,"$    261,346,835.8328"
Maker,"$    193,480,691.9596"
STEPN,"$  2,354,472,305.5763"
eCash,"$     44,586,989.2312"
IOTA,"$    116,352,957.3577"
Nexo,"$     32,321,079.2954"
Neo,"$    170,942,566.0931"
Pax Dollar,"$     43,071,556.7346"
Curve DAO Token,"$    388,786,267.5988"
Neutrino USD,"$     26,701,271.1274"
Stacks,"$     37,532,256.9962"
Zilliqa,"$    935,496,260.9881"
Celo,"$    122,068,539.4409"
OKB,"$     79,842,122.9258"
Quant,"$    122,822,233.2496"
Chiliz,"$    211,142,211.7615"
Kusama,"$    193,928,478.8252"
Dash,"$    311,336,216.8132"
Gala,"$    714,340,815.6861"
Harmony,"$    155,773,701.9837"
Loopring,"$    279,286,609.5887"
Enjin Coin,"$    323,710,951.9886"
Mina,"$     68,985,227.7579"
Basic Attention Token,"$    165,748,201.1845"
XDC Network,"$     15,501,023.2648"
Gnosis,"$      8,242,836.0054"
Lido DAO,"$     64,495,231.0365"
Holo,"$     69,249,049.3368"
Arweave,"$    130,246,599.1960"
Compound,"$    154,405,734.6359"
PAX Gold,"$     48,299,577.4429"
Decred,"$      5,285,204.2487"
Amp,"$     29,403,622.5452"
NEM,"$     65,246,199.7832"
ICON,"$     76,194,439.1243"
Kava,"$     96,874,077.5777"
Theta Fuel,"$     44,284,747.2081"
yearn.finance,"$    211,330,871.4748"
Qtum,"$    228,074,577.2011"
Secret,"$     25,453,389.9344"
Oasis Network,"$    118,635,619.4473"
Symbol,"$     12,568,381.7423"
Audius,"$     63,514,401.8022"
Moonbeam,"$     75,995,613.3550"
GateToken,"$     20,585,812.8510"
Kadena,"$     73,277,492.9976"
0x,"$    123,135,956.0325"
OMG Network,"$    243,428,199.4380"
1inch Network,"$    238,357,234.8741"
Livepeer,"$     74,504,623.1503"
Bancor,"$     42,615,527.3106"
Fei USD,"$     14,399,686.1874"
IoTeX,"$     66,201,184.3796"
SKALE Network,"$     54,570,379.5815"
Bitcoin Gold,"$     13,877,239.5173"
Synthetix,"$    195,014,768.8620"
JUST,"$    136,953,692.8478"
Ankr,"$     72,941,857.2791"
Serum,"$    129,598,811.8916"
Dogelon Mars,"$     38,414,606.0992"
BORA,"$     71,223,986.2342"
Kyber Network Crystal v2,"$    295,139,487.8968"
Ravencoin,"$     47,832,062.0006"
Celsius,"$      6,237,121.7551"
IOST,"$    132,899,164.3583"
SXP,"$    159,811,173.0618"
Ontology,"$     78,171,358.6567"
Siacoin,"$     28,362,740.7618"
Horizen,"$     73,400,289.4589"
SwissBorg,"$      2,273,754.3628"
Velas,"$      6,485,210.6611"
APENFT,"$    282,712,810.1773"
Acala Token,"$     20,665,024.4090"
WAX,"$     50,566,709.5195"
Frax Share,"$     72,930,635.1316"
Braintrust,"$      4,374,186.0751"
UMA,"$     81,888,693.1005"
Ethereum Name Service,"$    263,536,474.6326"
Immutable X,"$    156,830,057.4465"
Render Token,"$     39,317,003.3568"
Anchor Protocol,"$    257,809,099.2035"
Golem,"$      9,634,182.9247"
Voyager Token,"$      7,502,619.6293"
Rally,"$      3,391,797.1197"
WOO Network,"$     57,860,647.5330"
Storj,"$     53,568,453.1836"
USDD,"$     13,773,867.3740"
Hive,"$     31,208,943.8856"
Illuvium,"$     29,595,780.6054"
Nervos Network,"$     10,356,850.7368"
renBTC,"$     33,295,219.9935"
Polymath,"$     31,005,834.6027"
Casper,"$     14,556,965.9194"
SushiSwap,"$    437,530,298.3289"
DigiByte,"$     46,564,573.5199"
Trust Wallet Token,"$     28,690,674.4633"
MXC,"$     17,791,140.3936"
Flux,"$     45,762,739.0113"
Ren,"$     57,783,959.9549"
Keep Network,"$      2,187,042.0291"
Spell Token,"$     62,525,491.7996"
Persistence,"$      3,937,189.8252"
CEEK VR,"$     17,228,536.5893"
WINkLink,"$    130,219,545.2162"
PlayDapp,"$     29,841,956.4396"
Gemini Dollar,"$      4,923,354.3388"
Conflux,"$     14,102,359.8670"
Ocean Protocol,"$     34,898,519.7918"
Telcoin,"$      8,532,259.0626"
dYdX,"$    226,682,171.4374"
Nano,"$      4,703,190.7153"
DigitalBits,"$      1,653,550.6820"
Injective,"$     30,767,616.9060"
DAO Maker,"$      8,107,472.7621"
Lisk,"$     13,233,729.0826"
Constellation,"$      4,396,378.8272"
Dent,"$     60,856,265.4871"
Celer Network,"$     67,165,538.9716"
Raydium,"$     76,677,439.5948"
MediBloc,"$        935,536.8167"
Chia,"$     12,955,096.5458"
Syscoin,"$     19,634,374.2065"
MX TOKEN,"$     14,754,279.4914"
COTI,"$     64,975,923.0257"
NuCypher,"$     10,910,134.6786"
Revain,"$      1,002,038.6916"
Mines of Dalarnia,"$    198,614,099.9281"
Coin98,"$     44,040,617.8099"
Chromia,"$     61,527,270.0570"
Fetch.ai,"$     23,288,784.2160"
Vulcan Forged PYR,"$     46,555,766.7085"
Orbs,"$      5,125,497.6405"
Request,"$     17,494,447.6094"
Pundi X (New),"$     26,979,284.8282"
Powerledger,"$     22,659,025.0469"
Locus Chain,"$      3,252,323.7750"
Ontology Gas,"$     17,084,158.8477"
Tribe,"$     11,374,455.1527"
Perpetual Protocol,"$     22,330,605.7626"
ConstitutionDAO,"$    195,659,772.5480"
WazirX,"$     13,186,359.3382"
HEX,"$     22,378,547.9856"
Wrapped TRON,"$     25,245,567.4633"
Lido Staked ETH,"$        975,666.7818"
yOUcash,"$      1,030,954.0246"
Bitcoin BEP2,"$    172,383,811.4306"
Frax,"$     88,077,020.6349"
Toncoin,"$      5,914,383.3717"
DeFiChain,"$     42,078,636.9810"
Wrapped BNB,"$  1,191,349,667.9234"
BitTorrent,"$         27,391.5621"
Chain,"$    128,097,060.7165"
Huobi BTC,"$      5,218,375.2958"
Osmosis,"$    221,098,522.3388"
Liquity USD,"$      2,228,837.9641"
Safe,"$      1,235,731.5079"
Counos X,"$      1,098,651.6737"
BitDAO,"$     40,259,614.0328"
Threshold,"$     19,602,786.8973"
NXM,"$          4,040.4573"
LINK,"$      5,315,227.0530"
LooksRare,"$    118,308,974.0455"
Tether Gold,"$      3,431,649.3173"
The Transfer Token,"$        414,869.7550"
HUSD,"$     46,344,578.5613"
Astar,"$     40,327,928.9052"
KOK,"$     10,705,942.3930"
Everscale,"$      3,007,460.8379"
Wrapped Velas,$              0.0000
Sapphire,"$      1,426,993.8485"
Fruits,"$      2,200,537.6631"
Rocket Pool,"$      1,182,673.0720"
Project Galaxy,"$    575,104,793.5561"
Bitpanda Ecosystem Token,"$        154,605.0622"
RadioCaca,"$     39,177,209.5230"
WEMIX,"$     84,041,931.2006"
SafeMoon,"$         24,726.2573"
WhiteCoin,"$      5,065,021.3714"
Pirate Chain,"$        968,803.2972"
BinaryX,"$    112,416,201.3979"
VVS Finance,"$      6,824,671.1210"
Anyswap,"$      4,523,455.7818"
Biswap,"$    142,269,112.5450"
MobileCoin,"$      9,371,118.7608"
Humanscape,"$     18,989,844.8394"
MVL,"$      3,686,698.2018"
Chainbing,"$      1,460,261.5375"
TitanSwap,"$      4,587,452.0197"
XSGD,"$      3,556,715.8951"
inSure DeFi,"$      1,691,709.3777"
Decentralized Social,"$      3,157,758.9113"
USDX [Kava],"$        312,789.9406"
Sologenic,"$      2,363,804.1559"
Divi,"$        513,616.8863"
XYO,"$      6,646,889.7620"
Status,"$     14,034,478.6856"
Telos,"$     11,425,989.4944"
Maple,"$      5,648,267.9308"
JOE,"$     22,364,926.2627"
Aurora,"$      2,203,514.5782"
Ultra,"$      9,603,971.3817"
1eco,"$        614,577.3895"
Function X,"$      4,973,102.4515"
Ardor,"$      6,592,941.2534"
SifChain,"$     19,414,008.8634"
Civic,"$     61,578,771.4256"
AVINOC,"$        976,748.6992"
STASIS EURO,"$     47,609,392.1698"
Steem,"$     43,390,976.0359"
SuperFarm,"$     21,905,215.5437"
Moonriver,"$     44,574,720.4215"
Bitcoin Standard Hashrate Token,"$      1,935,405.5545"
Hxro,"$        193,410.1001"
Cartesi,"$     17,615,506.3842"
HedgeTrade,"$          1,306.1515"
Mdex,"$      4,869,526.0463"
MyNeighborAlice,"$    190,618,712.5177"
Origin Protocol,"$     98,577,456.5728"
Creditcoin,"$      4,851,782.0542"
Sun (New),"$    115,411,199.1696"
Dero,"$        857,932.7388"
MOBOX,"$     55,932,126.8573"
OriginTrail,"$      2,275,264.2504"
sUSD,"$     15,819,560.3695"
VeThor Token,"$     11,049,976.0637"
MetisDAO,"$     13,420,187.1297"
Rari Governance Token,"$        498,343.9295"
StormX,"$     16,939,211.6634"
Ellipsis,"$      2,173,095.7675"
LUKSO,"$      3,917,692.1883"
Orchid,"$     21,973,026.5357"
Reef,"$     52,837,248.5665"
Bifrost (BFC),"$     17,562,394.5106"
Energy Web Token,"$      1,331,548.4117"
Boba Network,"$      4,929,461.2365"
Metahero,"$     10,731,485.7170"
Propy,"$      3,026,379.9115"
ASD,"$      2,365,057.1941"
Verge,"$      4,975,332.4497"
FUNToken,"$     16,710,800.1698"
ssv.network,"$      2,728,542.0348"
Reserve Rights,"$     59,341,653.8645"
MaidSafeCoin,"$          8,731.6235"
aelf,"$     37,087,013.9408"
Venus USDC,$              0.0000
Rakon,"$         10,690.8137"
Augur,"$     13,248,157.9905"
Orbit Chain,"$      1,397,940.4636"
Alpha Venture DAO,"$     51,493,118.9275"
Yield Guild Games,"$     39,875,120.4426"
Aragon,"$     46,528,383.5940"
Aavegotchi,"$     30,079,234.8088"
RSK Smart Bitcoin,"$         21,371.8340"
Wirex Token,"$      2,844,776.6295"
Numeraire,"$     14,185,733.3968"
Bridge Oracle,"$        192,458.3490"
Hyperion,$             57.4578
Dawn Protocol,"$      5,704,061.1968"
Sperax,"$      8,414,015.1670"
iExec RLC,"$     13,873,180.4137"
Stratis,"$      6,197,275.9459"
Sport and Leisure,$              0.0000
Biconomy,"$     22,663,946.4971"
Ampleforth,"$      4,101,219.2874"
Prometeus,"$      2,812,932.7515"
Metadium,"$      4,725,337.2138"
Metal,"$     49,457,790.9012"
Standard Tokenization Protocol,"$     25,506,648.2702"
Liquity,"$      2,143,582.7402"
NKN,"$      8,250,677.5008"
Hoo Token,"$      6,329,787.3404"
UFO Gaming,"$      5,792,883.4570"
API3,"$     44,503,288.7664"
Origin Dollar,"$        828,173.9279"
Adshares,"$      3,903,207.8990"
CENNZnet,"$        562,006.9104"
SOMESING,"$      3,642,809.6355"
QuarkChain,"$      5,322,564.6183"
Strike,"$      6,802,785.2382"
Mango,"$      1,090,664.9292"
Ergo,"$      5,041,357.6800"
Mask Network,"$     67,620,636.2652"
RSK Infrastructure Framework,"$      3,157,465.7408"
Radicle,"$      7,344,495.4982"
Alchemy Pay,"$     23,789,198.7051"
SingularityNET,"$      6,398,805.7451"
BakeryToken,"$     59,647,944.5483"
Bloktopia,"$     16,970,508.9814"
Ark,"$      3,687,321.4780"
MovieBloc,"$     22,193,174.2996"
Band Protocol,"$     36,448,736.0630"
Polkastarter,"$     11,578,502.9187"
Electroneum,"$        255,679.7024"
Enzyme,"$      7,629,997.9704"
Klever,"$     11,307,958.3878"
World Mobile Token,"$        973,565.2985"
Utrust,"$      8,263,841.3738"
Akash Network,"$      5,896,953.4840"
Balancer,"$     80,735,260.6367"
DeversiFi,"$        149,603.3698"
Badger DAO,"$     13,242,230.0039"
Proton,"$      6,456,027.1724"
KardiaChain,"$      1,278,582.0933"
e-Radix,"$      4,166,367.8497"
Beta Finance,"$     12,135,653.5909"
Everipedia,"$     11,241,941.5452"
JasmyCoin,"$    368,909,604.7433"
ABBC Coin,"$     23,389,971.4594"
Dvision Network,"$      2,222,431.6245"
Cratos,"$      7,833,167.2373"
DEAPcoin,"$      5,002,273.4245"
Veritaseum,"$         25,828.4242"
GensoKishi Metaverse,"$      1,395,435.5578"
TomoChain,"$     24,156,815.5560"
Dusk Network,"$     16,964,081.9726"
STAKE,"$        329,586.7856"
XCAD Network,"$      9,180,493.8434"
Freeway Token,"$      1,266,094.2250"
dKargo,"$      5,304,209.9485"
YooShi,"$        492,153.7065"
Ampleforth Governance Token,"$     71,054,344.9654"
cVault.finance,"$        120,918.9640"
PlatON,"$      3,209,370.2463"
Haven Protocol,"$      1,534,155.4690"
Qredo,"$     19,195,099.8908"
Venus,"$     47,403,340.8138"
CertiK,"$     18,853,955.1023"
Celo Dollar,"$      2,863,769.0579"
Shiba Predator,"$     11,628,245.5583"
DeFi Pulse Index,"$      1,119,380.4057"
Shapeshift FOX Token,"$      1,712,463.9177"
Ankr Reward Bearing Staked ETH,"$      1,461,978.6287"
HUNT,"$     16,180,354.3537"
NEST Protocol,"$      6,921,728.8556"
TrueFi,"$      7,256,220.3504"
Orion Protocol,"$      7,463,928.5052"
AIOZ Network,"$      1,383,905.7080"
Unibright,"$        706,402.2783"
RMRK,"$      7,135,015.2365"
ThunderCore,"$     12,033,637.4975"
GXChain,"$        707,579.4638"
LCX,"$      2,239,072.3852"
Aurory,"$      2,142,349.3423"
Hathor,"$      9,317,708.0003"
Neutrino Token,"$        201,010.4269"
Loom Network,"$      4,349,703.0527"
Starlink,"$     11,100,734.4713"
ZB Token,"$        820,318.2255"
SafePal,"$     32,354,761.5730"
Alchemix,"$      7,134,313.4911"
ONUS,"$        232,472.3088"
GlitzKoin,"$      3,345,267.6506"
Centrifuge,"$        380,921.5924"
Beefy Finance,"$      5,514,042.0316"
Mirror Protocol,"$     60,491,951.9601"
Aergo,"$     11,706,512.7453"
Chimpion,"$        174,288.4759"
PlatonCoin,"$        225,747.0850"
Venus BUSD,$              0.0000
IDEX,"$     22,929,579.1204"
Uquid Coin,"$      4,191,656.3134"
Wanchain,"$      3,021,630.4835"
Merit Circle,"$      6,840,483.5103"
ZEON,"$         70,648.1511"
Marlin,"$     10,177,352.1253"
League of Kingdoms Arena,"$    104,707,600.9365"
Decentral Games,"$      7,209,984.2140"
Alitas,"$        176,155.2307"
OpenDAO,"$     16,778,497.8793"
Splintershards,"$      2,207,472.7823"
Covalent,"$      2,353,045.4542"
Nestree,"$      2,565,519.1341"
LTO Network,"$      8,070,830.2311"
CLV,"$     35,281,358.1047"
Alien Worlds,"$    110,639,795.4974"
Hifi Finance,"$     22,586,929.7439"
Darma Cash,$              0.0000
Adventure Gold,"$     21,716,119.8697"
Efforce,"$        937,358.4288"
MimbleWimbleCoin,"$         62,369.6375"
Voxies,"$     33,420,270.7224"
ARPA Chain,"$     31,311,742.5549"
Aleph.im,"$      1,115,449.7055"
Handshake,"$        207,512.0419"
Vai,"$      1,385,665.0458"
Syntropy,"$        906,268.7271"
HI,"$      1,220,718.4024"
Qcash,"$    669,030,421.4831"
Phala Network,"$      6,738,009.8797"
Carry,"$      8,727,913.1699"
Elitium,"$        641,383.4719"
Seedify.fund,"$      3,177,334.2904"
CONUN,"$      3,953,832.1968"
EverRise,"$        582,297.4798"
Toko Token,"$     14,183,111.0236"
Travala.com,"$      7,541,784.4379"
Gitcoin,"$     18,818,992.9117"
AXEL,"$         76,323.2224"
PEAKDEFI,"$        492,840.2280"
SpookySwap,"$      4,371,132.8085"
Alpaca Finance,"$     18,266,033.4440"
Smooth Love Potion,"$    166,786,238.9640"
Linear Finance,"$     39,113,268.5786"
Vectorspace AI,"$        845,443.8288"
MonaCoin,"$        319,210.4131"
Efinity Token,"$      9,049,022.5294"
BitShares,"$      8,035,622.5242"
GMT Token,"$      2,847,394.4223"
KeeperDAO,"$      1,195,009.7680"
Komodo,"$      5,934,552.0144"
Alpha Quark Token,"$      4,901,269.9959"
bZx Protocol,$            228.4719
Tornado Cash,"$     14,357,844.4445"
BitMart Token,"$      2,506,451.8278"
Genopets,"$      7,408,761.5776"
Verasity,"$     56,901,058.2680"
Keep3rV1,"$     17,622,409.8666"
Moss Coin,"$      3,869,951.0270"
Terra Virtua Kolect,"$      9,412,342.7254"
TROY,"$      5,291,420.5663"
MiL.k,"$      9,299,118.4561"
Rai Reflex Index,"$      7,258,125.0496"
Victoria VR,"$     16,553,905.6740"
DerivaDAO,"$        599,182.3334"
Elastos,"$        620,359.6602"
Kava Swap,"$        849,278.7122"
Peony,"$        608,287.1671"
Cobak Token,"$      3,662,443.8549"
KILT Protocol,"$      1,610,922.7824"
DFI.Money,"$     55,114,819.7929"
Phantasma,"$      4,292,691.7727"
VerusCoin,"$         92,556.4281"
Hydra,"$      1,334,659.3256"
TrustSwap,"$      1,387,985.9972"
Sentinel Protocol,"$      3,757,039.5679"
Wilder World,"$      3,298,933.5805"
Boson Protocol,"$      4,441,665.9439"
FLETA,$              0.0000
Ambire AdEx,"$     12,268,439.2618"
Tokenlon Network Token,"$      6,250,930.9844"
Cocos-BCX,"$     36,989,372.3198"
Velo,"$      1,058,938.0456"
CUDOS,"$      1,602,796.3849"
BabySwap,"$      1,619,984.1295"
district0x,"$      9,567,237.3607"
RIZON,"$        259,672.2592"
Harvest Finance,"$     29,528,902.2355"
IRISnet,"$      5,662,122.7314"
XeniosCoin,"$          6,629.5185"
Automata Network,"$     11,606,887.8665"
Bitcoin Diamond,"$        860,362.6910"
Zelwin,"$         76,515.0252"
Flamingo,"$     16,652,721.9161"
mStable USD,"$        443,208.3337"
Sovryn,"$        755,677.3499"
DAD,"$      1,959,526.3099"
Alpine F1 Team Fan Token,"$     13,524,544.4440"
Refereum,"$      8,447,371.5843"
TokenPocket,"$        582,496.1578"
Contentos,"$      7,457,178.0071"
BioPassport Token,"$      1,698,568.1827"
Super Zero Protocol,"$      1,643,178.9534"
RichQUACK.com,"$        815,449.5749"
Presearch,"$        759,434.4641"
Morpheus.Network,"$      1,107,399.6410"
DIA,"$     13,424,470.9963"
Circuits of Value,"$        701,707.8393"
Ethernity,"$     20,036,534.2496"
Molecular Future,"$      2,216,302.0647"
ApolloX,"$      3,026,062.1856"
Wrapped NXM,"$      3,751,947.6659"
Alethea Artificial Liquid Intelligence Token,"$      1,017,276.5892"
Rarible,"$      2,549,029.5498"
Shiden Network,"$      5,565,234.2930"
Groestlcoin,"$      4,611,901.9591"
RAI Finance,"$      8,067,680.7261"
Vega Protocol,"$      3,009,579.9844"
GuildFi,"$      3,091,098.3572"
CoinEx Token,"$      1,753,806.2501"
Steem Dollars,"$      6,072,867.4310"
Wrapped NCG (Nine Chronicles Gold),"$      4,543,195.5467"
Marinade Staked SOL,"$     23,533,565.1742"
Bonfida,"$      4,866,692.5133"
BoringDAO,"$          4,230.6793"
Assemble Protocol,"$      1,241,484.4179"
QuickSwap,"$     12,302,561.5261"
Ribbon Finance,"$      2,724,620.1842"
Swarm,"$      3,178,597.3753"
RChain,"$        491,966.4250"
Energi,"$        438,506.2653"
XMON,"$      2,028,831.5641"
PolySwarm,"$      2,532,239.5252"
FIO Protocol,"$      2,638,441.8128"
DeRace,"$      1,677,309.1901"
Kava Lend,"$      7,007,589.4259"
Deeper Network,"$      3,606,210.8325"
Samoyedcoin,"$      5,142,057.2678"
Streamr,"$      7,294,387.9599"
DigixDAO,"$          8,450.9741"
Maro,"$        642,014.5032"
RFOX,"$      2,647,194.6835"
Kin,"$      1,536,200.9867"
Akropolis,"$     14,407,083.6482"
BarnBridge,"$     74,011,526.9980"
Highstreet,"$     24,869,372.4566"
Quantstamp,"$        740,748.5684"
NFTX,"$        406,996.5467"
Somnium Space Cubes,"$        350,701.1498"
ZIMBOCASH,"$         11,239.5047"
Unifty,"$      1,713,368.0428"
Tranchess,"$     16,963,364.1947"
Venus USDT,$              0.0000
CoinLoan,"$         55,351.7583"
Gas,"$      8,149,187.4638"
SIX,"$      1,754,543.6623"
MANTRA DAO,"$      5,595,798.7800"
Bluzelle,"$     12,213,056.1481"
Thetan Arena,"$      3,618,847.2484"
Aeternity,"$      2,055,331.5598"
NewYork Exchange,"$        367,433.4966"
Oxen,"$        787,103.5559"
Kleros,"$        995,014.6550"
SuperRare,"$     11,323,101.1846"
Cortex,"$      7,401,714.0655"
Ultiledger,"$         22,776.3184"
DXdao,"$        157,046.8897"
Bloomzed Loyalty Club Ticket,"$          7,867.4771"
Star Atlas,"$      6,031,447.3579"
Firo,"$      2,818,976.6345"
AllianceBlock,"$        871,531.1133"
Namecoin,"$         16,186.2055"
XDEFI Wallet,"$      3,311,231.9518"
SingularityDAO,"$      2,539,108.2496"
NULS,"$     10,915,311.2970"
Litentry,"$     26,613,848.2028"
FirmaChain,"$      6,199,760.5609"
YIELD App,"$        968,914.3865"
BSCPAD,"$      1,614,871.5294"
Reserve,"$         86,134.5581"
Chrono.tech,"$        431,721.9679"
USDK,"$     66,327,645.5850"
Grid+,"$         42,974.8617"
BTSE,"$      1,741,541.4284"
Civilization,"$      1,128,355.6175"
MAP Protocol,"$        373,112.4830"
DODO,"$     50,586,109.1513"
WHALE,"$        736,621.6186"
Metronome,"$         33,550.0085"
Zenon,"$        201,141.3027"
X World Games,"$      7,839,875.5359"
TerraKRW,"$         72,187.1105"
New BitShares,"$      2,598,421.9884"
